latitude,longitude
58.853047400,5.749920100
58.852947500,5.749853100
58.852739600,5.749719100
58.852637200,5.749652800
58.852445200,5.749531800
58.852274900,5.749406900
58.852128300,5.749230200
58.851996900,5.749031600
58.851924300,5.748937300
58.851765300,5.748777700
58.851687600,5.748697600
58.851520300,5.748504300
58.851356800,5.748267900
58.851279400,5.748147500
58.851122800,5.747916100
58.851050700,5.747807300
58.850920400,5.747608800
58.850833100,5.747403800
58.850809200,5.747292000
58.850811400,5.747051900
58.850829800,5.746945500
58.850880900,5.746720400
58.850914100,5.746595700
58.850980200,5.746349700
58.851057100,5.746097900
58.851095300,5.745963600
58.851167100,5.745693300
58.851200800,5.745553100
58.851278300,5.745280700
58.851310000,5.745146100
58.851364100,5.744848200
58.851402400,5.744545700
58.851418000,5.744381400
58.851443200,5.744062300
58.851469000,5.743748100
58.851482600,5.743596500
58.851501300,5.743294400
58.851508600,5.743145600
58.851523700,5.742848800
58.851536400,5.742546700
58.851542700,5.742401000
58.851564700,5.742121400
58.851578500,5.741973500
58.851597600,5.741706300
58.851604800,5.741574200
58.851626500,5.741343200
58.851654100,5.741160000
58.851653900,5.741068700
58.851639500,5.741005300
58.851622900,5.740964400
58.851588000,5.740904200
58.851533800,5.740854800
58.851445700,5.740776600
58.851350100,5.740704800
58.851291300,5.740657800
58.851188000,5.740588100
58.851130900,5.740536600
58.851020000,5.740448700
58.850911800,5.740361400
58.850806300,5.740283400
58.850762600,5.740226100
58.850703400,5.740172500
58.850585000,5.740066700
58.850451200,5.739948400
58.850391300,5.739904800
58.850283400,5.739804900
58.850221400,5.739708100
58.850212600,5.739660000
58.850240800,5.739505000
58.850260600,5.739456100
58.850300300,5.739301300
58.850319100,5.739223200
58.850360400,5.739078900
58.850400700,5.738992500
58.850406200,5.738963600
58.850409300,5.738955400
58.850408400,5.738947100
58.850408000,5.738942400
58.850408300,5.738940000
58.850409200,5.738937600
58.850410400,5.738931300
58.850408400,5.738922600
58.850407400,5.738920500
58.850404900,5.738917000
58.850403700,5.738915600
58.850403300,5.738915100
58.850402000,5.738913600
58.850401200,5.738912600
58.850400400,5.738911700
58.850400000,5.738911300
58.850399400,5.738910500
58.850399100,5.738910100
58.850400400,5.738907300
58.850424900,5.738861900
58.850439600,5.738851500
58.850462400,5.738761500
58.850485900,5.738652300
58.850494900,5.738605600
58.850502300,5.738568900
58.850518200,5.738516700
58.850530200,5.738474900
58.850539800,5.738454400
58.850579400,5.738380900
58.850619200,5.738259600
58.850637100,5.738190800
58.850674700,5.738011300
58.850701000,5.737923300
58.850756400,5.737753100
58.850756400,5.737753100
58.850813400,5.737573700
58.850875000,5.737419100
58.850900700,5.737353300
58.850938500,5.737258700
58.850956500,5.737214900
58.850975500,5.737160700
58.850989900,5.737108300
58.851034400,5.736989800
58.851088100,5.736889000
58.851114800,5.736837500
58.851163300,5.736734500
58.851184700,5.736685100
58.851216700,5.736591300
58.851227200,5.736546100
